smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,0.001,0.001,0.001,0,-150,2
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,0.003077799,0.003077799,0.003077799,1,50,7
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,0.002214605,0.002214605,0.002214605,1,50,7.698970004
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,0.001593501,0.001593501,0.001593501,1,50,8.397940009
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,0.001146591,0.001146591,0.001146591,1,50,9.096910013
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,0.00082502,0.00082502,0.00082502,1,50,9.795880017
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,0.000593636,0.000593636,0.000593636,1,50,10.49485002
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,0.000427146,0.000427146,0.000427146,1,50,11.19382003
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,0.000307349,0.000307349,0.000307349,1,50,11.89279003
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,0.007491967,0.007491967,0.007491967,1,100,7
[H]c1cccc(Oc2cccc(Oc3cccc(Oc4cccc(Oc5cccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N([H])C9=O)cc7C6=O)c5)c4C#N)c3C#N)c2C#N)c1,0.005321892,0.005321892,0.005321892,1,100,7.698970004
