smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency
O=C(c1ccc(Oc2ccccc2)cc1)c1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)NC6=O)cc4C3=O)cc2)cc1,3.9,3.9,3.9,0,23,3
O=C(c1ccc(Oc2ccccc2)cc1)c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)[nH]c(=O)c5cc4c3=O)cc2)cc1,3.63,3.63,3.63,0,23,3
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cn%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)nc7)C8=O)cc6C5=O)cn4)cc3)(C(F)(F)F)C(F)(F)F)cc2)nc1,3.2,3.2,3.2,0,23,3
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cn%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)nc7)C8=O)cc6C5=O)cn4)cc3)(C(F)(F)F)C(F)(F)F)cc2)nc1,3.15,3.15,3.15,0,23,5
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cn%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)nc7)C8=O)cc6C5=O)cn4)cc3)(C(F)(F)F)C(F)(F)F)cc2)nc1,2.91,2.91,2.91,0,23,6
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cn%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)nc7)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cn4)cc3)(C(F)(F)F)C(F)(F)F)cc2)nc1,2.97,2.97,2.97,0,23,3
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cn%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)nc7)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cn4)cc3)(C(F)(F)F)C(F)(F)F)cc2)nc1,2.92,2.92,2.92,0,23,5
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cn%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)nc7)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cn4)cc3)(C(F)(F)F)C(F)(F)F)cc2)nc1,2.71,2.71,2.71,0,23,6
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cc%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)cc7)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,2.88,2.88,2.88,0,23,3
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cc%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)cc7)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,2.78,2.78,2.78,0,23,5
